REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,West South Central,2016,29,21,0,1,0,0,0,0,0
Census Regions,Mountain,2016,29,22,0,0,0,0,0,0,0
Census Regions,Pacific,2016,29,108,0,6,1,1,0,4,0
Census Regions,New England,2016,30,2,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,30,51,0,24,0,0,1,8,0
Census Regions,East North Central,2016,30,30,1,2,0,0,1,1,1
Census Regions,West North Central,2016,30,36,0,0,0,0,0,0,0
Census Regions,South Atlantic,2016,30,46,1,0,0,1,0,0,0
Census Regions,East South Central,2016,30,8,0,0,0,0,0,0,0
Census Regions,West South Central,2016,30,9,0,0,0,0,0,0,0
Census Regions,Mountain,2016,30,20,0,3,0,0,0,0,0
Census Regions,Pacific,2016,30,96,0,9,0,1,0,1,0
Census Regions,New England,2016,31,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,31,73,0,35,2,0,1,3,0
Census Regions,East North Central,2016,31,47,0,2,0,0,0,0,3
Census Regions,West North Central,2016,31,31,0,1,0,0,0,0,0
Census Regions,South Atlantic,2016,31,54,0,0,0,0,0,0,0
Census Regions,East South Central,2016,31,5,0,0,0,0,0,0,0
Census Regions,West South Central,2016,31,11,0,0,0,0,0,0,0
Census Regions,Mountain,2016,31,17,0,1,0,0,0,0,0
Census Regions,Pacific,2016,31,113,1,6,0,0,0,1,0
Census Regions,New England,2016,32,2,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,32,38,0,7,0,0,0,7,0
Census Regions,East North Central,2016,32,63,0,4,0,0,0,0,10
Census Regions,West North Central,2016,32,29,0,2,0,0,0,0,0
Census Regions,South Atlantic,2016,32,37,2,1,0,0,0,0,0
Census Regions,East South Central,2016,32,11,0,1,0,0,0,0,0
Census Regions,West South Central,2016,32,14,0,1,0,0,0,0,0
Census Regions,Mountain,2016,32,27,2,1,0,1,1,2,0
Census Regions,Pacific,2016,32,130,2,11,0,0,2,3,0
Census Regions,New England,2016,33,3,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2016,33,48,0,4,0,0,0,3,0
Census Regions,East North Central,2016,33,71,0,12,0,0,0,0,4
Census Regions,West North Central,2016,33,26,0,1,0,0,0,0,0
Census Regions,South Atlantic,2016,33,49,1,2,0,1,0,0,0
Census Regions,East South Central,2016,33,3,0,0,0,0,0,0,0
Census Regions,West South Central,2016,33,18,0,0,0,1,0,0,0
Census Regions,Mountain,2016,33,20,0,2,0,0,1,0,0
Census Regions,Pacific,2016,33,138,0,8,0,1,0,4,0
Census Regions,New England,2016,34,1,0,0,0,0,0,0,0
